源文件,服务端相对路径,大小,修改时间,SHA256,识别编码,标签数,重复标签,CALL数
D:\MirServer\Mir200\Envir\Market_Def\玄渊实验室\装备洗练-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊实验室\装备洗练-XY_NMGF_MAIN.txt,32180,2026-08-08T19:43:47,d51ca2d0828ac7d8c07a771b1e1ac68cc93f6ef4e8e2a543b49f3b603e95a0bd,gb18030,13,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊实验室\项链幸运-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊实验室\项链幸运-XY_NMGF_MAIN.txt,30238,2026-08-10T11:48:31,a7ab802d491f1cf470911fd02d0506349b792b0e8bd0ee37f12cdd8d280e6004,gb18030,4,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊成长\军鼓升级-xycamp.txt,Mir200\Envir\Market_Def\玄渊成长\军鼓升级-xycamp.txt,10691,2026-07-30T14:50:47,bba3daa5e9ee00dcb0cccab70e9faf714e01da312e501819ddf1b37918e1412a,gb18030,21,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊成长\圣律之剑进阶-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊成长\圣律之剑进阶-XY_NMGF_MAIN.txt,13012,2026-08-15T16:06:00,ef21fe343eefd675781446b911e59fe7e31329817ad4b8449986fd8acc640188,gb18030,23,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊成长\神印修行-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊成长\神印修行-XY_NMGF_MAIN.txt,269345,2026-08-16T19:43:23,d764596facaf597d9197c3eb0b351d5dc0f7e48e6b4359c3428cfba86eb1e652,gb18030,413,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊成长\转生-xycamp.txt,Mir200\Envir\Market_Def\玄渊成长\转生-xycamp.txt,31112,2026-08-16T18:47:09,4a2512b1b571ece5860804b0ea15cf1bf725082778780bff1e867c47b5054907,gb18030,82,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊成长\马牌升级-xycamp.txt,Mir200\Envir\Market_Def\玄渊成长\马牌升级-xycamp.txt,10694,2026-07-30T14:50:47,369f81bf1d8a91c04f1286912a27d343dc64557dc0f0ad5e96a1f1ebee50b0ae,gb18030,21,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊成长\黄金圣物进阶-XY_NMGF_MAIN.txt,Mir200\Envir\Market_Def\玄渊成长\黄金圣物进阶-XY_NMGF_MAIN.txt,13012,2026-08-15T16:06:00,24ba7b33a7c67840ab4753c5ca0b63c1a7e4de5c429e699843e0acb01efb8cf7,gb18030,23,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊新手\新手礼包-xycamp.txt,Mir200\Envir\Market_Def\玄渊新手\新手礼包-xycamp.txt,669,2026-07-30T00:56:24,bd19f9adb84485e041e7ef9866c15cd3502ebc2aaa17e660f242a02fc6e385e4,gb18030,2,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊运营\沙城捐献-0.txt,Mir200\Envir\Market_Def\玄渊运营\沙城捐献-0.txt,1129,2026-07-17T22:19:53,a7804ea166553320ceabfefd75552b32eb309c0d0147aabec6bce30d1233e9c2,gb18030,5,,0
D:\MirServer\Mir200\Envir\Market_Def\玄渊运营\沙城捐献-xycamp.txt,Mir200\Envir\Market_Def\玄渊运营\沙城捐献-xycamp.txt,509,2026-07-30T22:13:05,b1a997a4805dd46b75dfe2cd6762ad63c8de32c6ff12bd348cbb9a9d4c3f9404,gb18030,3,,1
D:\MirServer\Mir200\Envir\Market_Def\玄渊运营\狂暴之力-0.txt,Mir200\Envir\Market_Def\玄渊运营\狂暴之力-0.txt,129,2026-07-26T01:09:21,31b3e22059e064049df239c402c4188ce4b3c1f64d906ce36864214f411f84cf,gb18030,1,,1
D:\MirServer\Mir200\Envir\Market_Def\玄渊运营\狂暴之力-xycamp.txt,Mir200\Envir\Market_Def\玄渊运营\狂暴之力-xycamp.txt,129,2026-07-30T00:56:24,31b3e22059e064049df239c402c4188ce4b3c1f64d906ce36864214f411f84cf,gb18030,1,,1
D:\MirServer\Mir200\Envir\Market_Def\玄渊运营\赞助称号-xycamp.txt,Mir200\Envir\Market_Def\玄渊运营\赞助称号-xycamp.txt,3006,2026-07-30T11:51:38,f79485317fef244ac5ba5b7a965f87a827050923b653db1779aaba765876a863,gb18030,6,,4
D:\MirServer\Mir200\Envir\QuestDiary\玄渊功能\常驻基础\升级自动三级基础技能.txt,Mir200\Envir\QuestDiary\玄渊功能\常驻基础\升级自动三级基础技能.txt,8264,2026-07-17T20:22:57,7febd0726396d875d6d4e4ecc28ef92bb969e7d3022689375b697cae6f5c0a51,gb18030,1,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊功能\常驻基础\死亡自动回初始营地.txt,Mir200\Envir\QuestDiary\玄渊功能\常驻基础\死亡自动回初始营地.txt,332,2026-08-10T18:28:30,fa2d7cdc672407c659a608c8e08b72423e2d2548960ae209dce223a5f03d3863,gb18030,1,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊功能\捐献\捐献核心.txt,Mir200\Envir\QuestDiary\玄渊功能\捐献\捐献核心.txt,1887,2026-07-30T22:13:05,28d9645a9cfecd61ff78f60d8a1a71f40c88b7c6bf4cfa8e906764bb6c59a273,gb18030,2,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊功能\狂暴\狂暴NPC接口.txt,Mir200\Envir\QuestDiary\玄渊功能\狂暴\狂暴NPC接口.txt,861,2026-07-30T10:55:52,9bcf2100916f5b4c22494a6b6bc1d0da60fa8b12fe3eb39c020b162e1ca6a58d,gb18030,2,,2
D:\MirServer\Mir200\Envir\QuestDiary\玄渊功能\狂暴\狂暴核心.txt,Mir200\Envir\QuestDiary\玄渊功能\狂暴\狂暴核心.txt,3185,2026-07-30T10:55:52,5e780f6342ef9ea3229d8a1018547c77c7f38e348be8136cd99d28f584f046f2,gb18030,5,,0
